行政區劃圖, 行政區劃圖
发标, 发标
煙消雲散, 煙消雲散
五萬八千, 五萬八千
平针缝, 平针缝
之叹, 之嘆
只愿, 只願
菸農, 菸農
海蔘, 海蔘
稳操胜算, 穩操勝算
卷層雲, 卷層雲
發放, 發放
躲了雷公遇了霹雳, 躲了雷公遇了霹靂
置言成範, 置言成範
大麥克, 大麥克
布蘭登堡, 布蘭登堡
延发, 延发
無足掛齒, 無足掛齒
千難萬難, 千難萬難
語意區分量表, 語意區分量表
个别生产, 个别生产
十里餘, 十里餘
乙种, 乙种
企划, 企划
後來之秀, 後來之秀
更僕難數, 更僕難數
窗明几净, 窗明几淨
台中港, 臺中港
乩坛, 乩坛
只过来, 只過來
小鏟, 小鏟
复合, 複合
不周山, 不周山
宣布无效, 宣佈無效
布濩, 布濩
卡卡布, 卡卡布
纤屑, 纤屑
餐松食柏, 餐松食柏
瘧原蟲, 瘧原蟲
只字, 只字
宣誓代表, 宣誓代表
冲昏, 冲昏
幸免, 倖免
蒙混过关, 矇混過關
出境证, 出境证
癉惡彰善, 癉惡彰善
发球区, 发球区
韩海苏潮, 韩海苏潮
刀削面, 刀削麪
模製, 模製
滨松市, 濱松市
硝煙, 硝煙
高积云, 高积云
兼收并蓄, 兼收幷蓄
细不容发, 細不容髮
议和团, 議和團
乾瞪眼, 乾瞪眼
病容满面, 病容满面
经济范畴, 經濟範疇
挽麦子, 挽麦子
离弦, 離弦
這種事, 這種事
然后, 然后
说出口, 說出口
少管閒事, 少管閒事
桥梁, 桥梁
自后, 自后
智術, 智術
请别见怪, 請別見怪
打鞦韆, 打鞦韆
克洛爾, 克洛爾
刺杀出局, 刺杀出局
手製, 手製
萨克洛夫奖, 薩克洛夫獎
偏重于, 偏重於
布尔乔亚, 布爾喬亞
向阳, 向阳
峻岭, 峻嶺
提克里特, 提克里特
合成词, 合成詞
钟左右, 鐘左右
其勢兇兇, 其勢兇兇
暗笑一声, 暗笑一声
千辛万苦, 千辛万苦
財產關係, 財產關係
大麻里, 大麻里
逆向擁塞通知, 逆向擁塞通知
于心何忍, 於心何忍
捫參歷井, 捫參歷井
萝卜精, 萝卜精
诈奸不及, 詐奸不及
好戲還在後頭, 好戲還在後頭
蘇煥智, 蘇煥智
布撣子, 布撣子
几社, 幾社
订于, 訂於
分尸, 分屍
李勝琛, 李勝琛
朝鮮冷麪, 朝鮮冷麪
打个沉儿, 打個沉兒
华氏寒暑表, 华氏寒暑表
夸丽, 夸丽
規範名, 規範名
周期性, 週期性
同用, 同用
一涂, 一塗
發現物, 發現物
曳尾泥塗, 曳尾泥塗
血吸虫病, 血吸虫病
幾個人, 幾個人
毫无准备, 毫無準備
遊覽車, 遊覽車
离别已久, 離別已久
拆出来, 拆出来
辟设, 闢設
開出去, 開出去
人烟辐辏, 人煙輻輳
发回去, 發回去
头花发, 頭花髮
丑毙了, 丑毙了
喀布尔, 喀布爾
發表演講, 發表演講
菴藹, 菴藹
錄影器, 錄影器
万古, 萬古
结采, 结采
双链, 雙鏈
混出, 混出
正當理由, 正當理由
回肠荡气, 回肠荡气
团头团脸, 团头团脸
栗鼠, 栗鼠
破镜重合, 破鏡重合
滷麪, 滷麪
复选框, 核取方块
标准偏差, 标准偏差
濒于绝境, 濒于绝境
夸强说会, 夸强说会
恩同父母, 恩同父母
达布洛沃斯基, 达布洛沃斯基
钟响声, 鐘響聲
示範村, 示範村
几团, 几团
桑托荣, 桑托荣
奇杯, 奇杯
煙霾, 煙霾
麥當樂, 麥當樂
企划处, 企劃處
你乾一杯, 你乾一杯
干这杯, 干这杯
专柜, 專櫃
觀者雲集, 觀者雲集
长出, 長出
激光, 镭射
麥克米蘭, 麥克米蘭
回身, 回身
伤风克, 伤风克
本願, 本願
买回去, 买回去
山崩鐘應, 山崩鐘應
当前季, 当前季
植基於, 植基於
短发, 短发
审曲面势, 审曲面势
干得三杯, 干得三杯
御林军, 御林军
氾濫, 氾濫
繫囚, 繫囚
飞烟传, 飞烟传
背地里, 背地裏
飙发电举, 飙发电举
才語, 才語
松風水月, 松風水月
咸興, 鹹興
丝盘虫, 丝盘虫
准新郎, 准新郎
壓縮餅乾, 壓縮餅乾
采矿工业, 採礦工業
春日里, 春日裏
谢绝参观, 謝絕參觀
草叶, 草叶
咸宁市, 咸宁市
東廠, 東廠
值得一幹, 值得一幹
难荫, 难荫
西洋参, 西洋參
周傳瑛, 周傳瑛
丰富多彩, 丰富多彩
僅供參考, 僅供參考
職員表, 職員表
捕虫堇菜, 捕蟲堇菜
母丑, 母醜
犹太复国主义, 犹太复国主义
裴里诺, 裴里諾
托命, 託命
鑑核備查, 鑑核備查
沉溺於, 沉溺於
應用範例, 應用範例
定計劃, 定計劃
与民同乐, 與民同樂
心服情愿, 心服情愿
药械, 药械
现制性, 现制性
摆布, 擺佈
自食恶果, 自食惡果
托老中心, 托老中心
干他, 幹他 干他
标准气压, 標準氣壓
板子, 板子
勃极烈, 勃極烈
麦克尼尔, 麥克尼爾
窗簾, 窗簾
行万里路读万卷书, 行萬里路讀萬卷書
谬以千里, 謬以千里
用字不当, 用字不當
余江县, 餘江縣
理髮匠, 理髮匠
发老狠, 發老狠
水彩颜料, 水彩顏料
亿多只, 億多隻
国王杯, 國王杯
币别, 幣別
翱遊四海, 翱遊四海
出纳台, 出納臺
新局面, 新局面
恒星周期, 恒星周期
台型, 臺型
哄来哄去, 哄来哄去
悠游, 悠游
遊樂, 遊樂
可供参考, 可供参考
劃然, 劃然
系紧, 系紧
转了, 转了
镎, 镎
坤极, 坤极
無窮無盡, 無窮無盡
倾尽, 倾尽
久别重逢, 久别重逢
链反应, 鏈反應
旅遊史, 旅遊史
两杠, 兩槓
豐妍, 豐妍
卡其布, 卡其布
配水系統, 配水系統
布列兹涅夫, 布列兹涅夫
布匿戰爭, 布匿戰爭
并发表, 並發表
信步闲游, 信步閒遊
烟民, 菸民
腰杆, 腰杆
迁台, 遷臺
乐曲, 樂曲
大娘, 大娘
臺版, 臺版
万里晴空, 万里晴空
踬仆, 踬仆
万万岁, 万万岁
凿出, 鑿出
互有胜负, 互有勝負
行藥, 行藥
沒藥, 沒藥
熏肉, 熏肉
历尽沧桑, 歷盡滄桑
险症, 險症
钟发音, 鐘發音
后拥前呼, 后拥前呼
布置, 佈置
余僇, 余僇
關了, 關了
据了解, 据了解
蘇有朋, 蘇有朋
謙克, 謙克
念诵, 唸誦
斗转参横, 斗轉參橫
最后面, 最后面
西周钟, 西周钟
输出到, 输出到
台北人, 臺北人
批覆, 批覆
金谷园, 金谷园
五谷丰收, 五谷丰收
臺前縣, 臺前縣
觀測臺, 觀測臺
超完美告别, 超完美告别
开冬, 开冬
挂在口上, 挂在口上
預想出, 預想出
藥價差, 藥價差
负乘致寇, 負乘致寇
满布, 满布
搬斗, 搬鬥
前叶, 前叶
面红面赤, 面紅面赤
杜杰利, 杜杰利
出谋划策, 出谋划策
叶片状, 葉片狀
冉有僕, 冉有僕
中国制, 中國製
余户, 余户
大汉技术学院, 大漢技術學院
张了, 張了
向来都是, 向來都是
错了, 错了
白得发亮, 白得发亮
岁寒松柏, 岁寒松柏
完全叶, 完全葉
唇若抹朱, 唇若抹朱
交割價, 交割價
索里亚, 索里亞
有節制, 有節制
同歡, 同歡
殘冬, 殘冬
几内亚比索, 几内亚比索
扑面而来, 扑面而来
未可同日而语, 未可同日而语
正义发展党, 正义发展党
托米欧佳, 托米歐佳
爱才如命, 爱才如命
荡检逾闲, 荡检逾闲
逆时针, 逆時針
挂勾, 挂勾
干碍, 干礙
干干的, 乾乾的
望秋先零, 望秋先零
齎志而歿, 齎志而歿
鬱悶不樂, 鬱悶不樂
韩蒙德, 韩蒙德
有鉴于, 有鑑於
干瘪, 乾癟
换板, 換板
复叶, 複葉
笑容满面, 笑容滿面
相并, 相併
染織廠, 染織廠
几张, 几张
周休二日, 週休二日
文件, 档案
亂作一團, 亂作一團
布希曼, 布希曼
明修栈道, 明修棧道
淑範, 淑範
开发周期, 開發週期
七出戏, 七齣戲
诗卷, 詩卷
于仁泰, 于仁泰
佔葡, 佔葡
所向无敌, 所向無敵
新紮, 新紮
轻烟, 轻烟
千孔百瘡, 千孔百瘡
发石车, 發石車
二百万, 二百萬
面分, 面分
秋川雅史, 秋川雅史
只照, 只照
控制塔, 控制塔
酥鬆油脂, 酥鬆油脂
天覆地载, 天覆地载
